Id,Predicted
60314,11096.335
12566,11173.717
17760,6954.0884
8876,1010.0134
80392,7011.3174
3007,32311.816
65731,16468.924
16183,2231.2317
3132,10704.837
47554,3381.0715
54851,8254.381
3080,18559.273
24420,2469.9072
44475,2542.0786
68784,3091.372
33711,22112.76
75110,8577.944
71182,13203.767
55890,3266.435
11952,1546.5796
24534,9229.757
85054,971.93195
86563,25125.045
52536,9409.626
78896,4705.484
27070,4855.4536
60693,1464.3489
51919,38096.195
40590,28457.564
57513,13246.889
72159,5022.0146
55459,13530.892
14148,1168.3601
52878,5876.9263
2188,2073.089
24393,1542.5347
86231,907.119
44751,1749.5944
95482,7696.2627
45462,4638.3228
74222,9858.607
72465,9080.191
31405,2410.8267
77148,797.86176
14001,9454.646
73530,3488.4348
78371,978.19434
56486,1392.7688
17397,10548.607
34260,9047.086
56216,2683.3638
73107,885.9108
57701,4469.1094
95715,1039.5356
85151,2605.7334
88305,817.4928
78944,4853.9536
15712,1287.8469
10080,1057.0032
88091,14633.689
52882,10176.852
6240,5641.903
37327,3994.612
44400,7151.949
89907,3681.3499
28692,2336.8372
54900,7393.6914
41944,1035.0623
1488,15938.68
32766,1823.5182
23720,3236.08
11509,1036.8297
48616,16233.957
44094,12814.896
70727,29436.717
64257,2364.1497
100,10643.646
3176,4876.894
10253,4883.489
37385,16725.973
78439,4221.9243
67334,1100.3595
44397,6147.4995
4814,3822.6282
75391,7044.8027
47885,3510.8528
42747,704.7585
15077,12024.482
43115,1044.2808
68882,775.3748
11332,8963.413
55877,1028.2662
42072,1060.2737
80540,828.7419
84212,8873.936
77274,802.2531
55881,3756.0886
38599,6539.2188
57359,3459.0173
52314,4172.208
71010,1694.8491
59474,1065.6525
45899,12577.345
63254,2601.7727
87833,673.9773
33167,2915.618
25647,8448.919
86953,11074.831
12581,6266.2554
18089,1940.3107
10579,6709.203
51215,9703.607
25845,11657.096
76978,17453.473
73755,9779.238
32071,4965.523
80090,10038.613
9469,11719.373
39327,2000.2815
99717,12134.369
3104,2321.331
66827,4031.5017
25151,8808.28
48973,1137.1318
16048,4163.813
49307,2671.8855
30166,2778.3477
39735,20799.479
71612,14582.533
95388,1275.3618
15514,2655.0752
89728,727.6557
11714,3684.7568
18020,16518.47
32896,1054.6157
10383,7051.5312
90868,4560.3765
50343,7892.168
99945,2976.3945
61719,7349.4165
34365,2982.4707
3823,8168.491
96371,11071.59
43059,4680.2554
1600,2420.6836
35300,25061.963
8619,698.2957
72934,890.44965
72751,6772.059
24464,3377.3203
16693,2887.3018
65402,9871.167
99188,3864.1045
49919,5351.395
58505,3131.8357
54794,10176.308
91475,2338.4602
90808,2016.3054
12826,7425.327
90821,791.3613
15178,1131.7289
83650,2190.436
30235,2413.3225
76618,8503.321
31219,2211.4763
72367,1176.5156
246,10215.26
11654,16813.31
16866,31419.158
82336,1815.4824
51167,2659.373
76560,7095.771
28188,2017.1104
33180,662.19666
55191,4689.0703
8034,4503.856
73037,1196.2717
43561,6988.2065
51969,24079.912
76154,7145.6836
7970,1696.3772
59971,1266.0194
92128,3426.5752
90892,3060.4482
97423,5567.118
46605,864.81165
3577,5119.1606
53976,1029.0427
7442,1901.1002
95454,14185.095
62494,2424.4622
47078,2775.1738
9165,2439.4844
82323,1325.8378
51148,2793.381
75721,10075.914
37716,3719.4377
25124,1085.8082
72667,8268.626
99550,1264.8596
98433,847.69006
43733,7035.269
52232,5685.979
25577,1504.714
54156,6997.0493
37246,17910.43
47652,1023.80914
87423,1616.8993
70987,879.5873
41565,10626.01
78190,4485.805
51472,4017.7188
4859,928.70685
36755,997.7044
56780,1519.542
53466,3404.4387
10671,946.5811
80630,12687.589
30534,12637.316
38463,6165.195
96797,8411.118
75613,6245.285
67805,10313.127
166,1615.1255
50028,6890.423
47506,9753.048
34134,2446.2288
8766,76651.07
17143,3678.367
1638,7147.428
65864,13993.078
37787,13107.225
30730,993.3348
45563,10626.212
46535,2361.8972
62384,2995.8032
40082,10812.672
45373,13327.354
35082,950.40326
14190,1469.8657
97200,1016.875
83482,10584.805
10276,4041.2405
34499,664.23706
55210,924.7828
37968,878.7216
20349,1370.8385
26377,30342.102
56522,805.9294
84036,3594.3948
11181,2934.9846
13674,951.9989
14135,3341.4226
23663,15069.37
32020,1065.7323
4636,2394.333
65807,905.33215
59035,8754.74
58491,21925.908
87993,17715.48
22188,881.5385
58509,11716.78
67705,6289.641
94400,4658.0093
88300,6408.783
7357,767.5201
78987,21119.166
23292,1233.9706
85412,10856.462
81517,16089.078
81300,2430.1904
22506,7369.7354
9270,985.9092
53060,2374.3218
52752,8556.008
66216,921.75385
49302,7890.505
33578,21560.57
31907,5714.2627
44471,2086.488
29995,9585.117
24498,3528.9463
32921,12769.916
92043,915.36426
5511,1458.6747
48786,2257.9084
46798,2235.8325
92181,2335.4001
76802,9740.435
94125,8657.31
19953,9800.123
34232,4090.5896
55113,5958.6445
37625,1268.4001
69042,1291.445
35503,2714.8728
1453,1729.6018
67914,4011.5088
4790,6547.8433
19704,985.2761
2476,10911.152
57761,8900.269
29904,2863.4216
89554,1117.313
80424,4073.0295
88943,4201.1313
24798,6164.936
80605,5519.3926
83775,13140.455
9507,1712.3329
32634,3515.3054
87888,1993.616
4319,3300.4475
77833,674.0731
26159,875.1318
36691,7801.4263
93169,4745.6875
99160,935.43976
99729,1009.196
33931,3501.4236
41485,847.8582
95785,4671.2705
91596,734.6497
28448,3562.0925
82291,805.5263
6183,923.7382
14036,1680.7097
77840,4465.4116
33619,3248.3337
32910,1070.9999
64301,4679.492
25872,5261.761
43110,1626.0592
61122,1594.4509
61022,1802.7755
19114,5516.198
70976,7744.1562
72804,6089.3945
33572,2946.7275
11126,16336.959
49510,995.4462
22128,2733.5952
51578,7011.725
80312,20074.02
50269,4696.208
25022,4609.4043
46112,4633.6187
8977,3750.5513
35989,11492.645
17505,849.1064
12138,936.2582
99089,1388.9513
10494,10434.426
40828,1611.6351
98534,17649.14
81497,14233.648
35713,1511.2719
16437,1817.128
64454,4602.4688
74180,2077.7917
34331,586.1156
12717,919.18097
28391,25471.492
67466,3107.108
38224,4471.4756
27473,8808.927
12288,3716.7817
38838,1239.2771
25053,1449.5126
70156,2401.3477
48242,2544.9045
47672,5084.5474
99536,2250.54
35652,3854.8145
90043,11564.924
47029,3378.5767
30666,1289.7299
50821,878.00916
40263,18216.523
3462,649.4778
798,2535.828
67826,7616.5796
4948,5075.599
6711,715.85815
13395,2261.573
14104,2291.6113
82990,4956.8647
74905,2297.1843
7719,2166.7478
65856,20271.326
97719,12528.884
41429,1160.4315
31859,1784.1327
82819,3215.395
60794,4069.217
73580,1091.7225
5120,1115.1323
87845,891.32056
16579,15516.543
45154,18771.975
33157,2562.9658
71598,2942.1814
72957,3217.1895
98413,3337.13
73458,1208.1956
99479,5697.079
66559,8626.987
12660,18787.125
77803,18658.176
64241,15353.345
24706,4624.8687
2055,5109.62
9424,1471.461
8475,722.9039
42527,11819.48
83061,13834.328
11184,710.78296
83447,4000.3342
33737,1359.5507
56731,1301.0242
63119,2834.5713
40130,807.67596
7735,798.52057
2473,4620.6763
25532,7312.4395
80634,4055.5952
64853,2048.336
81166,4762.045
97471,2487.886
12483,1022.0507
93403,1219.8544
24214,2270.9065
17311,6272.049
95535,2439.3738
75046,1568.33
5955,1000.04205
96600,3657.02
59217,5620.8877
80875,1138.517
48134,3760.4363
53097,9141.134
175,15175.935
3513,1788.9167
2860,14829.715
3085,1655.0939
97664,11312.773
56466,2121.6519
16755,23718.64
28370,3430.8293
87165,2192.4443
51230,11174.782
21103,3177.8953
93319,3307.2942
28913,2477.4695
67911,1479.8175
95396,932.1021
27278,9399.069
30588,8235.659
67076,6485.5156
40338,765.2084
25023,791.22815
25243,2208.4045
17507,3431.5657
47982,2518.4827
80930,15587.987
53435,2180.0222
74801,1204.0116
29675,2758.5767
54367,1964.959
35893,640.232
1759,2932.24
11258,2409.119
27679,10774.658
49139,736.33386
58320,1853.6049
96670,2068.8418
62530,2650.1472
82028,1367.4685
84911,1605.5172
24111,1149.9211
31656,2306.061
28202,4684.9756
34439,5104.7593
59502,1986.3503
37476,2016.0228
17817,9013.912
89883,24644.275
37083,2775.8252
49465,2907.4922
10921,3023.8267
85552,3356.4368
5257,3591.5955
47634,946.777
94415,3040.6655
49748,12354.95
43664,4391.283
68624,30080.436
30084,654.0968
44922,2759.8818
32466,1252.3932
63258,1182.1504
94832,3841.1704
79067,27073.852
332,9905.673
84193,10341.186
73602,15167.76
89371,2715.616
48918,1069.7784
18959,910.11676
76444,14018.817
87214,4175.719
97397,2280.9243
75306,4390.1357
98224,4175.588
20061,11096.271
47938,826.8157
49456,2323.331
45452,2653.0046
28877,2897.1707
10955,3566.542
10353,24174.135
95324,6511.812
61374,8800.186
57407,803.2572
53324,3396.581
11265,12885.251
50308,1022.39484
80678,56458.508
88122,1059.6743
24933,7745.774
32510,1364.4404
34602,4035.7983
17446,6641.481
22352,776.9885
28614,843.5377
18173,3667.3125
76248,3402.3032
40221,1055.5214
42972,10727.3
93158,3079.1877
84620,715.76294
65242,5025.7227
45790,3072.2742
66722,5731.9575
24574,7278.834
53848,3425.546
79149,8302.746
84327,9617.76
87331,14916.266
98482,2860.965
26352,6516.44
97666,7328.762
18023,1490.2196
4576,8185.3584
4560,1127.7415
56939,921.2793
47433,18572.11
28299,1318.6583
6520,2782.9368
80413,1630.4716
44962,733.12854
64710,7029.488
85398,3815.9116
39238,3715.5874
57760,661.84875
4557,5038.315
74431,8375.019
48017,9146.653
28086,16935.744
82927,16220.215
98441,6848.966
29520,1661.681
81161,5975.6885
66566,1035.3615
18711,6037.8306
67537,11637.835
69771,24181.7
59533,2726.6072
18211,1006.0014
82688,1760.9664
16760,1445.4259
90390,962.19525
93871,8184.258
71366,1275.8917
91034,1355.2594
85226,5016.471
32983,3118.766
53815,8352.947
85154,18250.344
68139,23179.83
91583,1370.5216
93711,11746.137
72820,12472.316
9354,1791.4811
46151,1094.5065
15507,939.75006
43874,2349.0066
11442,1121.3439
78019,1868.0947
76498,2741.3752
82170,1025.622
93228,11128.807
13218,6927.7896
57279,855.2736
31786,6169.7
90904,2185.0354
92309,1683.2787
43613,1619.1615
79259,2558.1953
43532,830.63574
22307,550.57526
50121,1926.8164
61815,1408.4534
93513,2694.2554
98175,2785.3635
8052,2595.6167
5148,17880.137
58026,2204.4768
62295,6465.5254
84715,4118.1104
65358,1084.2328
83378,11484.986
16773,5974.452
53207,638.96967
44272,872.9899
60865,1412.9697
71341,11953.138
58871,2320.2698
64037,2042.8357
28750,3296.8518
19916,812.059
828,8966.0205
16903,3330.952
75226,642.24915
91325,4530.734
6814,1065.1373
18259,962.23425
47949,2576.647
3692,2408.0269
9715,9961.566
60125,3778.1257
69057,789.87714
9137,898.3434
40192,6031.2354
80259,1219.1991
5765,7268.179
62294,740.76306
52798,9179.939
71830,1236.4426
50490,1891.4036
79272,15116.524
28424,15174.604
91558,2479.3225
17871,17361.006
39946,5349.6807
12580,2625.1938
18297,9156.088
68326,1581.8912
1257,1618.9369
66321,1363.2964
93032,1129.874
76164,6127.885
21107,2726.3096
59487,1889.8115
23497,4811.3413
18407,34517.824
10160,878.3111
46394,1342.6892
15580,2503.806
68487,851.34106
78801,1148.3578
34026,953.9438
49618,9249.036
45005,1096.9637
1668,2100.2502
47049,2772.7534
27692,57109.81
88489,12807.614
40228,11004.188
13971,9256.66
50608,9869.755
30846,1167.0499
47620,1432.1656
90149,3937.6162
48121,1679.2726
27007,813.1029
2181,2028.8809
96561,1102.6017
41726,7744.555
5455,616.3652
96140,4594.071
3185,11415.568
8873,3426.853
47488,5727.7993
44184,8978.223
34282,6245.8447
94695,10110.865
64036,5727.198
22425,4712.6016
22447,1694.4976
32293,858.15607
99347,2649.6658
60733,3310.3423
83990,4215.6196
5559,1648.3347
76017,3690.0881
98198,712.5809
65688,859.9433
1791,1441.6373
42276,3935.3826
48556,14910.79
87900,3193.1792
7467,836.5886
97804,13358.746
91044,2573.3662
86814,713.7847
56445,948.09436
11713,882.44183
18765,1850.1521
13443,1621.3627
97888,1750.5833
87248,9786.282
91469,1155.191
60708,4323.4253
5770,26147.2
3333,6156.2764
33319,12112.552
27235,8099.2363
38029,1897.0759
90680,2132.6094
33476,5895.2485
44203,17643.3
73481,18679.059
64981,23845.537
95657,2445.803
95983,1160.4248
30380,2155.9758
92807,1077.1251
1119,5279.0767
51818,5759.1353
153,6958.301
69350,6170.6006
23294,4499.606
72929,5539.325
44930,8761.84
46639,11184.709
92260,6185.7134
97541,3431.5393
56493,6963.3726
72138,6815.4033
21458,832.74554
10100,21835.305
61067,9354.679
57052,3470.7378
42088,1649.0635
80617,2863.5774
59675,8319.613
97383,2681.2546
49453,3474.752
29541,9370.055
98289,2355.5874
45521,3732.9734
86043,1061.0829
75193,2760.7427
46206,1752.7223
1626,1336.2855
4890,2143.5498
63735,1448.1848
25252,862.967
85963,703.6879
73497,11687.317
47250,942.7221
49392,832.03546
75034,1150.2534
85207,7624.719
4070,738.17456
41619,1689.1345
31104,6348.3486
93038,4456.0356
94001,2160.8325
91627,2061.3823
56383,6066.858
63838,6471.6323
86098,1288.337
37574,6044.1274
19010,10546.203
52395,1525.0602
70248,2793.24
14704,1064.8387
89820,2396.686
35294,7786.709
797,31850.998
87095,3831.9136
46009,799.7033
67328,831.062
77424,16225.135
97175,3276.5188
5168,7322.914
89177,26726.652
27229,22471.547
53202,987.4872
26163,5432.382
94792,9884.289
32850,941.8002
76770,5409.6084
95343,2831.2698
30803,3108.2964
75135,6348.554
27282,724.5234
97602,1362.0126
34663,3163.0403
3444,3032.4644
5654,29390.236
2973,3473.3108
91371,5920.021
4918,1807.6864
82650,1362.8584
53600,4797.1333
41525,3415.17
72106,795.679
58090,799.2409
76678,1220.5648
80978,2129.439
62564,9502.9
35531,4683.765
2851,2011.3447
15604,5288.737
58485,3063.9233
92671,1272.0378
17141,1214.952
78853,1315.1367
7311,9999.305
56547,2822.838
71357,940.77905
33575,1065.1465
23985,14693.696
82231,1121.9011
96765,1978.694
24838,789.77277
2733,37209.758
72728,4468.645
79325,3030.4954
21561,3693.056
66423,8206.478
5397,19901.094
50764,10263.9
1501,9094.17
83369,901.3869
69854,12051.967
74340,779.66547
12222,1179.7081
73274,1825.5044
26282,894.2729
70568,3439.0647
57846,794.5969
83640,3796.5137
61669,2037.9749
84702,1079.6006
43679,876.5522
36808,1548.0544
39857,3271.052
85851,3512.896
81939,9465.852
20492,7176.279
34878,7472.525
41672,727.6335
10090,16757.076
23319,2005.3623
22388,3177.6104
58356,4672.4688
17999,2005.8146
75549,968.13354
96155,9965.651
48341,1828.4917
83410,1138.2032
22715,6403.548
16335,4639.619
83365,1101.6074
8314,3716.835
60351,882.3905
98712,3161.825
71206,986.8155
4436,922.984
36814,2819.683
8612,5045.903
63233,3212.8296
1944,6333.714
6998,12239.505
71465,2383.6772
66475,16887.648
86614,9766.656
62036,842.7626
34240,1132.8029
22314,7945.318
59924,11757.591
65623,2686.8923
35478,9102.301
50956,1912.9225
18616,629.90594
56806,804.2061
40271,1158.0828
34495,2217.8494
824,1128.3655
78398,767.30054
1727,713.4635
26361,1776.5398
7481,1734.6376
6033,8646.335
62153,569.47675
76935,4845.06
10647,1943.4988
56834,846.69025
37255,15745.779
70488,5855.036
92171,13063.286
27342,706.22784
79671,41285.527
14770,5440.724
72208,907.9061
28641,11895.357
58981,8446.921
12210,3436.1633
59397,602.52045
12118,4079.8523
52571,919.7952
29410,12919.112
9488,3742.5872
3078,1161.249
92470,4682.032
56162,1268.6886
23171,1393.1035
19871,919.067
62873,2007.5388
23413,6526.8643
19256,1136.7296
58071,2980.604
34235,1362.2268
62266,9311.857
79730,4071.383
86578,1223.094
33684,4166.0254
68618,17282.557
